window_start,window_end,event_count,unique_messages,distinct_hosts,distinct_processes,avg_msg_length,failed_auth_count,invalid_user_count,entropy_tokens
2025-06-14 15:16:01,2025-06-14 15:17:01,3,2,1,1,63.333333333333336,0,0,4.087462841250339
2025-06-15 02:04:01,2025-06-15 02:05:01,10,1,1,1,115.0,0,0,4.20184123230257
2025-06-15 04:06:01,2025-06-15 04:07:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-15 04:12:01,2025-06-15 04:13:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-15 12:12:01,2025-06-15 12:13:01,20,2,1,1,53.5,0,0,4.142664355548848
2025-06-15 12:13:01,2025-06-15 12:14:01,4,2,1,1,53.5,0,0,4.142664355548848
2025-06-15 14:53:01,2025-06-15 14:54:01,20,2,1,1,60.0,0,0,4.058813890331201
2025-06-15 20:05:01,2025-06-15 20:06:01,10,2,1,1,63.5,0,0,4.3685225277282065
2025-06-16 04:10:01,2025-06-16 04:11:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-16 04:16:01,2025-06-16 04:17:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-17 04:03:01,2025-06-17 04:04:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-17 04:09:01,2025-06-17 04:10:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-17 07:06:01,2025-06-17 07:07:01,6,1,1,1,91.0,0,0,3.916126946588284
2025-06-17 07:07:01,2025-06-17 07:08:01,2,2,1,1,91.0,0,0,3.963745994207332
2025-06-17 19:43:01,2025-06-17 19:44:01,1,1,1,1,98.0,0,0,3.9698157824268097
2025-06-17 20:29:01,2025-06-17 20:30:01,1,1,1,1,41.0,0,0,3.0
2025-06-17 20:34:01,2025-06-17 20:35:01,1,1,1,1,28.0,0,0,2.321928094887362
2025-06-17 20:55:01,2025-06-17 20:56:01,7,2,1,1,104.0,0,0,4.35838101251739
2025-06-18 01:30:01,2025-06-18 01:31:01,20,2,1,1,68.0,0,0,4.501629167387822
2025-06-18 02:08:01,2025-06-18 02:09:01,15,3,1,1,104.0,0,0,4.384089113783056
2025-06-18 02:23:01,2025-06-18 02:24:01,1,1,1,1,68.0,0,0,3.906890595608519
2025-06-18 04:07:01,2025-06-18 04:08:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-18 04:12:01,2025-06-18 04:13:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-19 04:08:01,2025-06-19 04:09:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-19 04:15:01,2025-06-19 04:16:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-20 03:40:01,2025-06-20 03:41:01,12,1,1,1,60.0,0,0,3.807354922057604
2025-06-20 04:02:01,2025-06-20 04:03:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-20 04:08:01,2025-06-20 04:09:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-20 04:44:01,2025-06-20 04:45:01,1,1,1,1,43.0,0,0,3.169925001442312
2025-06-20 09:20:01,2025-06-20 09:21:01,20,2,1,1,54.5,0,0,4.142664355548848
2025-06-21 04:06:01,2025-06-21 04:07:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-21 04:13:01,2025-06-21 04:14:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-21 08:56:01,2025-06-21 08:57:01,6,1,1,1,97.0,0,0,3.9698157824268097
2025-06-22 03:17:01,2025-06-22 03:18:01,12,1,1,1,111.0,0,0,3.875
2025-06-22 03:18:01,2025-06-22 03:19:01,11,1,1,1,111.0,0,0,3.875
2025-06-22 04:05:01,2025-06-22 04:06:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-22 04:11:01,2025-06-22 04:12:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-22 04:30:01,2025-06-22 04:31:01,20,2,1,1,66.5,0,0,4.349648912578752
2025-06-22 13:16:01,2025-06-22 13:17:01,23,3,1,1,62.0,0,0,3.8786139786216376
2025-06-23 01:41:01,2025-06-23 01:42:01,10,1,1,1,99.0,0,0,3.9698157824268097
2025-06-23 02:55:01,2025-06-23 02:56:01,2,2,1,1,54.5,0,0,4.142664355548848
2025-06-23 04:05:01,2025-06-23 04:06:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-23 04:13:01,2025-06-23 04:14:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-23 23:30:01,2025-06-23 23:31:01,9,1,1,1,94.0,0,0,3.9698157824268097
2025-06-24 04:05:01,2025-06-24 04:06:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-24 04:11:01,2025-06-24 04:12:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-24 18:55:01,2025-06-24 18:56:01,13,2,1,1,60.0,0,0,3.784549018001764
2025-06-25 04:04:01,2025-06-25 04:05:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-25 04:10:01,2025-06-25 04:11:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-25 04:41:01,2025-06-25 04:42:01,20,2,1,1,58.0,0,0,4.058813890331201
2025-06-25 09:20:01,2025-06-25 09:21:01,18,1,1,1,61.0,0,0,3.807354922057604
2025-06-25 19:25:01,2025-06-25 19:26:01,13,3,1,1,60.0,0,0,3.745934613380076
2025-06-26 04:04:01,2025-06-26 04:05:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-26 04:10:01,2025-06-26 04:11:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-27 04:02:01,2025-06-27 04:03:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-27 04:08:01,2025-06-27 04:09:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-27 08:05:01,2025-06-27 08:06:01,5,1,1,1,112.0,0,0,3.9698157824268097
2025-06-28 04:03:01,2025-06-28 04:04:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-28 04:08:01,2025-06-28 04:09:01,1,1,1,1,39.0,0,0,3.0
2025-06-28 04:09:01,2025-06-28 04:10:01,1,1,1,1,28.0,0,0,2.321928094887362
2025-06-28 08:10:01,2025-06-28 08:11:01,9,1,1,1,95.0,0,0,3.9698157824268097
2025-06-28 20:58:01,2025-06-28 20:59:01,10,1,1,1,111.0,0,0,4.221928094887363
2025-06-28 21:42:01,2025-06-28 21:43:01,10,2,1,1,55.5,0,0,4.142664355548848
2025-06-29 03:22:01,2025-06-29 03:23:01,23,2,1,1,59.0,0,0,3.6860830607029063
2025-06-29 04:03:01,2025-06-29 04:04:01,2,2,1,1,34.5,0,0,3.0850551027564768
2025-06-29 04:09:01,2025-06-29 04:10:01,2,2,1,1,33.5,0,0,3.0850551027564768
2025-06-29 10:08:01,2025-06-29 10:09:01,10,1,1,1,98.0,0,0,3.875
2025-06-29 10:48:01,2025-06-29 10:49:01,23,12,1,1,59.0,0,0,4.021718897065868
2025-06-29 12:11:01,2025-06-29 12:12:01,5,1,1,1,110.0,0,0,4.142664355548848
2025-06-29 12:12:01,2025-06-29 12:13:01,8,1,1,1,110.0,0,0,4.142664355548848
2025-06-29 14:44:01,2025-06-29 14:45:01,7,1,1,1,61.0,0,0,3.807354922057604
2025-06-30 04:03:01,2025-06-30 04:04:01,2,2,1,1,34.5,0,0,3.0850551027564768
